epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,19452.4,0.76944,1.32133,0.62747,1.04012,0.79466,0.76305,0.79767,0.61921,0.73289,0.70281,0.6761,0.2285,0.85639,1.13131,0.84167,0.96545,0.006172,0.006172,0.006172
118,19617.5,0.76257,1.29889,0.61925,1.03992,0.85255,0.71982,0.78479,0.61023,0.72677,0.68675,0.651,0.2169,0.85233,1.14756,0.86123,0.96592,0.006139,0.006139,0.006139
119,19781.7,0.75579,1.30338,0.61359,1.03211,0.7867,0.78506,0.77103,0.59926,0.71401,0.71191,0.65134,0.22162,0.85468,1.15426,0.86999,0.97755,0.006106,0.006106,0.006106
120,19946.9,0.75664,1.30871,0.61244,1.03873,0.81217,0.73896,0.75358,0.59559,0.75167,0.68675,0.65509,0.21518,0.85956,1.14689,0.84935,0.99622,0.006073,0.006073,0.006073
121,20111.1,0.76251,1.31909,0.61161,1.04478,0.81614,0.71888,0.74801,0.59527,0.74866,0.69076,0.66108,0.21859,0.8288,1.13824,0.84237,0.97887,0.00604,0.00604,0.00604
122,20278,0.75531,1.30447,0.60662,1.03769,0.81126,0.74226,0.75893,0.59858,0.7517,0.69076,0.67276,0.22263,0.82964,1.13166,0.8418,0.98976,0.006007,0.006007,0.006007
123,20444.5,0.74748,1.30471,0.60716,1.03045,0.83276,0.7199,0.75572,0.59287,0.76135,0.69076,0.66869,0.21907,0.87829,1.14538,0.82888,0.99825,0.005974,0.005974,0.005974
124,20610.4,0.76315,1.30605,0.60522,1.03369,0.81664,0.76911,0.77244,0.60361,0.76858,0.6988,0.65603,0.21652,0.85396,1.16379,0.81,0.98587,0.005941,0.005941,0.005941
125,20774.8,0.74465,1.29837,0.59442,1.02807,0.792,0.77989,0.76904,0.6065,0.72151,0.70752,0.66368,0.2195,0.85847,1.17023,0.83121,1.00332,0.005908,0.005908,0.005908
126,20939.7,0.7409,1.31064,0.59672,1.02336,0.82455,0.73611,0.76681,0.606,0.76977,0.68273,0.67367,0.22383,0.84087,1.15568,0.83493,0.9954,0.005875,0.005875,0.005875
127,21105,0.74854,1.3041,0.59511,1.02536,0.82725,0.73494,0.77212,0.61423,0.79111,0.64659,0.68031,0.22113,0.83709,1.13164,0.81089,1.00985,0.005842,0.005842,0.005842
